,english word,e_score,turkish word,score
632,argumentative,-1.5,çekicilik,1.7
633,argumentatively,-1.8,attractivenesses,2.1
634,argumentive,-1.5,cazibe merkezi,1.2
635,arguments,-1.7,çekiciler,1.2
636,arrest,-1.4,çeken,1.7
637,arrested,-2.1,cüretli,0.9
638,arrests,-1.9,yetki,0.3
639,arrogance,-2.4,hoşlanmama,-1.9
640,arrogances,-1.9,Tiksinme,-1.1
641,arrogant,-2.2,caydırıcı,-1.6
642,arrogantly,-1.8,aversively,-0.8
643,ashamed,-2.1,AVERT,-0.7
644,ashamedly,-1.7,önlendiği,-0.3
645,ass,-2.5,önlendi,-0.4
646,assassination,-2.9,önlemek,-1.2
647,assassinations,-2.7,kaçınma,-1.4
648,assault,-2.8,kaçınmalar,-1.1
649,assaulted,-2.4,kaçınılması,-1.4
650,assaulting,-2.3,avoider,-1.8
651,assaultive,-2.8,kaçınan,-1.4
652,assaults,-2.5,kaçınır,-0.7
653,asset,1.5,bekliyoruz,0.4
654,assets,0.7,beklenen,-0.1
655,assfucking,-2.5,bekliyor,0.3
656,assholes,-2.8,ödül,2.5
657,assurance,1.4,ödül veresimiz pek,2.4
658,assurances,1.4,layık görülmek,1.7
659,assure,1.4,awardee,1.8
660,assured,1.5,ödül alanlar,1.2
661,assuredly,1.6,ödül kazanan,0.9
662,assuredness,1.4,awarders,1.3
663,assurer,0.9,ödüllendirilmesi,1.9
664,assurers,1.1,ödülleri,2.0
665,assures,1.3,müthiş,3.1
666,assurgent,1.3,garip,-0.6
667,assuring,1.6,beceriksizce,-1.3
668,assuror,0.5,beceriksizlik,-0.7
669,assurors,0.7,eksen,-0.4
670,astonished,1.6,sarstım,-1.3
671,astound,1.7,destekli,0.1
672,astounded,1.8,arkalık,0.1
673,astounding,1.8,sırtları,-0.2
674,astoundingly,2.1,kötü,-2.1
675,astounds,2.1,sağlam,1.4
676,attachment,1.2,kefaletle kurtarmak,-0.4
677,attachments,1.1,şaşırtmak,-0.9
678,attack,-2.1,Bamboozled,-1.5
679,attacked,-2.0,Bamboozles,-1.5
680,attacker,-2.7,yarım,-2.6
681,attackers,-2.7,sürgün etmek,-1.9
682,attacking,-2.0,iflas etti,-2.6
683,attacks,-1.9,banka yıldızı,-2.1
684,attract,1.5,yasaklı,-2.0
685,attractancy,0.9,pazarlık etmek,0.8
686,attractant,1.3,bariyer,-0.5
687,attractants,1.4,çekingen,0.2
688,attracted,1.8,utangaçlık,-0.8
689,attracting,2.1,Piç,-2.5
690,attraction,2.0,Bastards,-1.8
691,attractions,1.8,Bastardse,-2.1
692,attractive,1.9,bastardised,-2.3
693,attractively,2.2,Bastardes,-2.3
694,attractiveness,1.8,Bastardossing,-2.6
695,attractivenesses,2.1,bastardization,-2.4
696,attractor,1.2,bastardizations,-2.1
697,attractors,1.2,Bastardje,-2.4
698,attracts,1.7,lekelenmiş,-2.0
699,audacious,0.9,bastardizes,-1.8
700,authority,0.3,Bastardizing,-2.3
701,aversion,-1.9,bastardly,-2.7
702,aversions,-1.1,piçler,-3.0
703,aversive,-1.6,piçlik,-2.7
704,aversively,-0.8,savaş,-1.4
705,avert,-0.7,mücadele,-1.2
706,averted,-0.3,savaş alanı,-1.7
707,averts,-0.4,battlefront,-1.2
708,avid,1.2,", cephe",-0.8
709,avoid,-1.2,savaş alanları,-0.6
710,avoidance,-1.7,mazgallı siper,-0.4
711,avoidances,-1.1,mazgallar,-0.4
712,avoided,-1.4,battler,-0.8
713,avoider,-1.8,battlers,-0.2
714,avoiders,-1.4,savaşlar,-1.6
715,avoiding,-1.4,savaş gemisi,-0.1
716,avoids,-0.7,savaş gemileri,-0.5
717,await,0.4,battlewagon,-0.3
718,awaited,-0.1,battlewagons,-0.5
719,awaits,0.3,battling,-1.1
720,award,2.5,dövülmüş,-1.8
721,awardable,2.4,kutsayan,1.8
722,awarded,1.7,dayak,-2.0
723,awardee,1.8,nadide şey,1.6
724,awardees,1.2,beauteous,2.5
725,awarder,0.9,beauteously,2.6
726,awarders,1.3,doğruluk,2.7
727,awarding,1.9,güzellik uzmanı,1.2
728,awards,2.0,güzellik uzmanları,0.4
729,awesome,3.1,güzellikler,2.4
730,awful,-2.0,güzelleştirme,1.9
731,awkward,-0.6,beautifications,2.4
732,awkwardly,-1.3,güzel yapılarından,2.1
733,awkwardness,-0.7,beautifier,1.7
734,axe,-0.4,beautifiers,1.7
735,axed,-1.3,güzelleştirir,1.8
736,backed,0.1,güzel,1.3
737,backing,0.1,beautifuler,2.1
738,backs,-0.2,en güzel,2.6
739,bad,-2.5,güzelce,2.7
740,badass,1.4,güzelleştirmek,2.3
741,badly,-2.1,güzelleştirici,2.3
742,bailout,-0.4,beauts,1.7
743,bamboozle,-1.5,küçümsemek,-1.9
744,bamboozled,-1.5,küçülttüğü,-2.0
745,bamboozles,-1.5,Sevilen,2.3
746,ban,-2.6,yararlı,1.9
747,banish,-1.9,maaşlı makam sahibi olan,1.1
748,bankrupt,-2.6,ihsan,2.8
749,bankster,-2.1,beneficences,1.5
750,banned,-2.0,hayırlı,2.3
751,bargain,0.8,ihsanla,2.2
752,barrier,-0.5,faydaları,1.6
753,bashful,-0.1,faydalı bir,2.4
754,bashfully,0.2,beneficialness,1.7
755,bashfulness,-0.8,yararlananlar,1.8
756,bastard,-2.5,hak sahibi,2.1
757,bastardies,-1.8,yarar,2.0
758,bastardise,-2.1,beneficiation,0.4
759,bastardised,-2.3,yararlandığı,1.7
760,bastardises,-2.3,Zamanaşımı,1.9
761,bastardising,-2.6,yardımseverlik,1.2
762,bastardization,-2.4,benevolences,1.9
763,bastardizations,-2.1,iyiliksever,2.7
764,bastardize,-2.4,benevolently,1.4
765,bastardized,-2.0,iyi huylu,1.3
766,bastardizes,-1.8,benign oluşu,0.6
767,bastardizing,-2.3,merhametli,1.7
768,bastardly,-2.7,benignantly,1.1
769,bastards,-3.0,benignities,0.9
770,bastardy,-2.7,sevecenlik,1.3
771,battle,-1.6,Benignly,0.2
772,battled,-1.2,yoksun bırakmak,-2.1
773,battlefield,-1.6,yakınını kaybetmiş,-2.1
774,battlefields,-0.9,yoksun bırakılan,-1.9
775,battlefront,-1.2,bereaving,-1.3
776,battlefronts,-0.8,en iyi,3.2
777,battleground,-1.7,açığa vurmak,-3.2
778,battlegrounds,-0.6,ihanet,-2.5
779,battlement,-0.4,İhanete uğramış,-3.0
780,battlements,-0.4,hain,-2.5
781,battler,-0.8,daha iyi,1.9
782,battlers,-0.2,önyargı,-0.4
783,battles,-1.6,önyargılı,-1.1
784,battleship,-0.1,orospu,-2.8
785,battleships,-0.5,bitched,-2.6
786,battlewagon,-0.3,bitcheries,-2.3
787,battlewagons,-0.5,kancıklığı,-2.7
788,battling,-1.1,orospular,-2.9
789,beaten,-1.8,Isırık r,-2.0
790,beatific,1.8,Bi t st,-3.0
791,beating,-2.0,Ly ısır,-2.6
792,beaut,1.6,bitchiness,-2.6
793,beauteous,2.5,bitching,-1.1
794,beauteously,2.6,şirret,-2.3
795,beauteousness,2.7,acı,-2.0
796,beautician,1.2,bitterbrush,-0.2
797,beauticians,0.4,bitterbrushes,-0.6
798,beauties,2.4,bittered,-1.8
799,beautification,1.9,en acı,-2.3
800,beautifications,2.4,acılık,-1.7
801,beautified,2.1,acımsı,-1.6
802,beautifier,1.7,balabankuşu,-0.2
803,beautifiers,1.7,bitterns,-0.4
804,beautifies,1.8,bitterroots,-0.2
805,beautiful,2.9,apsent,-0.4
806,beautifuler,2.1,acı tatlı,-0.3
807,beautifulest,2.6,bittersweetness,-0.6
808,beautifully,2.7,bittersweets,-0.2
809,beautifulness,2.6,bitterweeds,-0.5
810,beautify,2.3,tuhaf,-1.3
811,beautifying,2.3,vesaire,-0.4
812,beauts,1.7,blam,-0.2
813,beauty,2.8,utandırıcı,-1.8
814,belittle,-1.9,blamably,-1.8
815,belittled,-2.0,suçladı,-2.1
816,beloved,2.3,blameful,-1.7
817,benefic,1.4,blamefully,-1.6
818,benefice,0.4,suçsuz,0.7
819,beneficed,1.1,eksiksizce uyarlardı,0.9
820,beneficence,2.8,suçsuzluk,0.6
821,beneficences,1.5,Blamer,-2.1
822,beneficent,2.3,blazerler,-2.0
823,beneficently,2.2,blameworthiness,-1.6
824,benefices,1.1,kabahatli,-2.3
825,beneficial,1.9,kutsamak,1.8
826,beneficially,2.4,mübarek,2.9
827,beneficialness,1.7,blesseder,2.0
828,beneficiaries,1.8,blessedest,2.8
829,beneficiary,2.1,blessedly,1.7
830,beneficiate,1.0,kutluluk,1.6
831,beneficiation,0.4,canını yakmak,2.6
832,benefit,2.0,blessers,1.9
833,benefits,1.6,kutsar,2.6
834,benefitted,1.7,nimet,2.2
835,benefitting,1.9,nimetler,2.5
836,benevolence,1.7,kör,-1.7
837,benevolences,1.9,mutluluk,2.7
838,benevolent,2.7,keyifli,2.9
839,benevolently,1.4,şen,1.2
840,benevolentness,1.2,blok,-1.9
841,benign,1.3,uçak bombası,2.9
842,benignancy,0.6,bloke edilmiş,-1.1
843,benignant,2.2,engelleme,-1.6
844,benignantly,1.1,bloklar,-0.9
845,benignities,0.9,kanlı,-1.9
846,benignity,1.3,bulanık,-0.4
847,benignly,0.2,cesur,1.5
848,bereave,-2.1,kalın,0.3
849,bereaved,-2.1,koyu renkte,-0.1
850,bereaves,-1.9,boldfaces,0.1
851,bereaving,-1.3,boldfacing,0.1
852,best,3.2,cesurca,2.1
853,betray,-3.2,cesaret,2.2
854,betrayal,-2.8,boldnesses,0.9
855,betrayed,-3.0,bolds,1.3
856,betraying,-2.5,bomba,-2.2
857,betrays,-2.5,bonus,2.5
858,better,1.9,ikramiye,2.6
859,bias,-0.4,artırmak,1.7
860,biased,-1.1,artırdığını,1.5
861,bitch,-2.8,artırılması,1.4
862,bitched,-2.6,artırır,1.3
863,bitcheries,-2.3,delik,-1.0
864,bitchery,-2.7,kuzey,-0.3
865,bitches,-2.9,borecole,-0.2
866,bitchier,-2.0,borecoles,-0.3
867,bitchiest,-3.0,canı sıkkın,-1.1
868,bitchily,-2.6,Can sıkıntısı,-1.3
869,bitchiness,-2.6,boredoms,-1.1
870,bitching,-1.1,Boreen,0.1
871,bitchy,-2.3,boreens,0.2
872,bitter,-1.8,sondaj delikleri,-0.2
873,bitterbrush,-0.2,matkap,-0.4
874,bitterbrushes,-0.6,deliciler,-1.2
875,bittered,-1.8,delikler,-1.3
876,bitterer,-1.9,borescopes,-0.1
877,bitterest,-2.3,βορέσομε,-1.3
878,bittering,-1.2,sıkıcı,-1.3
879,bitterish,-1.6,zahmet,-1.4
880,bitterly,-2.0,tüh,-1.7
881,bittern,-0.2,botherations,-1.3
882,bitterness,-1.7,rahatsız,-1.6
883,bitterns,-0.4,rahatsız ediyor,-0.8
884,bitterroots,-0.2,boykot,-1.7
885,bitters,-0.4,boykotlar,-1.4
886,bittersweet,-0.3,beyin yıkama,-1.5
887,bittersweetness,-0.6,göğüs gererek,1.9
888,bittersweets,-0.2,yiğitçe,2.3
889,bitterweeds,-0.5,braveries,2.0
890,bizarre,-1.3,braves,1.9
891,blah,-0.4,En cesur,2.3
892,blam,-0.2,nefes kesen,2.0
893,blamable,-1.8,rüşvet,-0.8
894,blamably,-1.8,parlak,2.8
895,blame,-1.4,aydınlatmak,1.9
896,blamed,-2.1,aydınlandı,2.1
897,blameful,-1.7,parlatıcı,2.5
898,blamefully,-1.6,parlatıcılar,1.0
899,blameless,0.7,Parlaklığı,1.5
900,blamelessly,0.9,Daha parlak,1.6
901,blamelessness,0.6,parlaklık,2.6
902,blamer,-2.1,brightnesses,1.4
903,blamers,-2.0,brights,0.4
904,blames,-1.7,parlak bir renkle,1.1
905,blameworthiness,-1.6,brilliances,2.9
906,blameworthy,-2.3,brilliancies,2.3
907,blaming,-2.2,briyantin,0.8
908,bless,1.8,briyantinler,2.0
909,blessed,2.9,ışıl ışıl,3.0
910,blesseder,2.0,brilliants,1.9
911,blessedest,2.8,kırdı,-1.8
912,blessedly,1.7,kırık,-2.1
913,blessedness,1.6,düşünceli,0.1
914,blesser,2.6,acımasız,-2.6
915,blessers,1.9,vahşileştirmek,-2.9
916,blesses,2.6,brutalized,-2.4
917,blessing,2.2,zalim,-2.9
918,blessings,2.5,acımasızlıkların,-2.6
919,blind,-1.7,vahşilik,-3.0
920,bliss,2.7,acımasızlaştırılmasına,-2.1
921,blissful,2.9,brutalizations,-2.3
922,blithe,1.2,vahşileştirir,-3.2
923,block,-1.9,vahşice,-3.0
924,blockbuster,2.9,zorbalık,-2.9
925,blocked,-1.1,saçmalık,-2.8
926,blocking,-1.6,zorba,-2.2
927,blocks,-0.9,serseri,-1.6
928,bloody,-1.9,batmaz,0.9
929,blurry,-0.4,sorumluluk,-1.9
930,bold,1.6,yük,-1.7
931,bolder,1.2,burdener,-1.3
932,boldest,1.6,burdeners,-1.7
933,boldface,0.3,Zahmetli,-1.4
934,boldfaced,-0.1,yüklerin,-1.5
935,boldfaces,0.1,külfetli,-1.8
936,boldfacing,0.1,bwahaha,0.4
937,boldly,1.5,bwahahah,2.5
938,boldness,1.5,sakin,1.5
939,boldnesses,0.9,yatıştırıcı,-1.6
940,bolds,1.3,calmatives,0.5
941,bomb,-2.2,sakinleştirdi,1.6
942,bonus,2.5,en sakin,1.6
943,bonuses,2.6,sakince,1.3
944,boost,1.7,dinginlik,1.7
945,boosted,1.5,calmnesses,1.6
946,boosting,1.4,kalmodulin,0.2
947,boosts,1.3,sakinleştirir,1.3
948,bore,-1.0,dayanamıyorum,-2.0
949,boreal,-0.3,iptal etmek,-1.0
950,borecole,-0.2,iptal edildi,-1.0
951,borecoles,-0.3,iptal,-0.8
952,bored,-1.1,iptallerde,-0.9
953,boredom,-1.3,kanser,-3.4
954,boredoms,-1.1,yetenekli,1.6
955,boreen,0.1,Esir,1.6
956,boreens,0.2,hangi,2.2
957,boreholes,-0.2,bakımlı,1.8
958,borer,-0.4,kaygısız,1.7
959,borers,-1.2,dikkatli,0.6
960,bores,-1.3,dikkatlice,0.5
961,borescopes,-0.1,dikkatlilik,2.0
962,boresome,-1.3,dikkatsiz,-1.5
963,boring,-1.3,dikkatsizce,-1.0
964,bother,-1.4,dikkatsizlik,-1.4
965,botheration,-1.7,carelessnesses,-1.6
966,botherations,-1.3,bakımları,2.0
967,bothered,-1.3,ilgili,2.2
968,bothering,-1.6,gündelik,0.8
969,bothers,-0.8,tesadüfen,0.7
970,bothersome,-1.3,yaralı,-2.4
971,boycott,-1.3,afet,-3.4
972,boycotted,-1.7,katastrofik,-2.2
973,boycotting,-1.7,temkinli,-0.4
974,boycotts,-1.4,kutlamak,2.7
975,brainwashing,-1.5,ünlü,2.7
976,brave,2.4,kutladı,2.7
977,braved,1.9,kutluyor,2.7
978,bravely,2.3,sansürlemek,-2.0
979,braver,2.4,sansürlü,-0.6
980,braveries,2.0,sansür,-1.2
981,bravery,2.2,belirli,1.1
982,braves,1.9,kesinlikler,0.9
983,bravest,2.3,kesinlik,1.0
984,breathtaking,2.0,keder,-1.9
985,bribe,-0.8,chagrined,-1.4
986,bright,1.9,meydan okuma,0.3
987,brighten,1.9,meydan,-0.4
988,brightened,2.1,meydan okuyucu,0.5
989,brightener,1.0,challengers,0.4
990,brighteners,1.0,zorluklar,0.3
991,brightening,2.5,zorlayıcı,0.9
992,brightens,1.5,"zorlayıcı,",-0.6
993,brighter,1.6,alan,2.1
994,brightest,3.0,champac,-0.2
995,brightly,1.5,Şampanya,0.5
996,brightness,1.6,şampanyalar,0.5
997,brightnesses,1.4,şampanya,0.2
998,brights,0.4,champaks,-0.2
999,brightwork,1.1,zeminlenmektedir,1.0
1000,brilliance,2.9,champer,-0.1
1001,brilliances,2.9,champers,0.5
1002,brilliancies,2.3,champerties,-0.1
1003,brilliancy,2.6,champertous,0.3
1004,brilliant,2.8,başkasın ait dava hakkının satın alınması,-0.2
1005,brilliantine,0.8,mantar,0.4
1006,brilliantines,2.0,mantarlar,0.2
1007,brilliantly,3.0,champing,0.7
1008,brilliants,1.9,şampiyon,2.9
1009,brisk,0.6,savunulan,1.2
1010,broke,-1.8,savunan,1.8
1011,broken,-2.1,şampiyonlar,2.4
1012,brooding,0.1,şampiyonluk,1.9
1013,brutal,-3.1,şampiyona,2.2
1014,brutalise,-2.7,alanlar,1.8
1015,brutalised,-2.9,chamoy,1.0
1016,brutalises,-3.2,şans,1.0
1017,brutalising,-2.8,şansı,0.8
1018,brutalities,-2.6,kaos,-2.7
1019,brutality,-3.0,karmakarışık,-2.2
1020,brutalization,-2.1,yüklü,-0.8
1021,brutalizations,-2.3,ücretleri,-1.1
1022,brutalize,-2.9,yardımsever,1.7
1023,brutalized,-2.4,hayırseverlik,1.9
1024,brutalizes,-3.2,charitablenesses,1.6
1025,brutalizing,-3.4,charitably,1.4
1026,brutally,-3.0,hayır kurumları,2.2
1027,bullied,-3.1,sadaka,1.8
1028,bullshit,-2.8,Charmed,2.0
1029,bully,-2.2,büyücü,1.9
1030,bullying,-2.9,oynatıcıları,2.1
1031,bummer,-1.6,charmeuse,0.3
1032,buoyant,0.9,büyüleyici,2.8
1033,burden,-1.9,charminger,1.5
1034,burdened,-1.7,charmingest,2.4
1035,burdener,-1.3,tatlı,2.2
1036,burdeners,-1.7,charmless,-1.8
1037,burdening,-1.4,chastised,-2.2
1038,burdens,-1.5,chastises,-1.7
1039,burdensome,-1.8,cezalandırırcasına,-1.7
1040,bwahaha,0.4,hile,-2.6
1041,bwahahah,2.5,dolandırıcı,-1.9
1042,calm,1.3,hileler,-1.8
1043,calmative,1.1,tezahürat,2.3
1044,calmatives,0.5,cheerer,1.7
1045,calmed,1.6,alkışlayanların,1.8
1046,calmer,1.5,neşeli,2.6
1047,calmest,1.6,cheerfuller,1.9
1048,calming,1.7,cheerfullest,3.2
1049,calmly,1.3,neşeyle,2.1
1050,calmness,1.7,neşe,2.1
1051,calmnesses,1.6,cheerier,2.6
1052,calmodulin,0.2,cheeriest,2.2
1053,calms,1.3,cheerily,2.5
1054,can't stand,-2.0,neşelilik,2.5
1055,cancel,-1.0,şerefe,2.1
1056,cancelled,-1.0,cheerlead,1.7
1057,cancelling,-0.8,ponpon kız,0.9
1058,cancels,-0.9,ponpon,1.2
1059,cancer,-3.4,amigo,1.2
1060,capable,1.6,cheerled,1.5
1061,captivated,1.6,neşesiz,-0.8
1062,care,2.2,kasvet,-1.7
1063,cared,1.8,cheerly,2.4
1064,carefree,1.7,beslemek,1.6
1065,careful,0.6,cherishable,2.0
1066,carefully,0.5,aziz,2.3
1067,carefulness,2.0,aziz tutan kimse,2.2
1068,careless,-1.5,cherishers,1.9
1069,carelessly,-1.0,cherishes,2.2
1070,carelessness,-1.4,anlardaki,2.0
1071,carelessnesses,-1.6,şık,1.9
1072,cares,2.0,çocukça,-1.2
1073,caring,2.2,soğutma,-0.1
1074,casual,0.8,boğma,-2.5
1075,casually,0.7,tıkanmış,-2.1
1076,casualty,-2.4,jikleleri,-2.0
1077,catastrophe,-3.4,boğucu,-2.0
1078,catastrophic,-2.2,kıkırdama,1.7
1079,cautious,-0.4,güldü,1.2
1080,celebrate,2.7,budala,-1.9
1081,celebrated,2.7,chuckleheaded,-1.3
1082,celebrates,2.7,chuckleheads,-1.1
1083,celebrating,2.7,kıkırdayan kimse,0.8
1084,censor,-2.0,Chucklers,1.2
1085,censored,-0.6,kıkırdamalar,1.1
1086,censors,-1.2,chucklesome,1.1
1087,certain,1.1,kıkır kıkır gülme,1.4
1088,certainly,1.4,chucklingly,1.2
1089,certainties,0.9,açıklık getirmektedir,0.9
1090,certainty,1.0,berraklık,1.7
1091,chagrin,-1.9,temiz,1.7
1092,chagrined,-1.4,temizleyici,0.7
1093,challenge,0.3,açık,-1.7
1094,challenged,-0.4,temizlenir,0.4
1095,challenger,0.5,Açıkça,1.7
1096,challengers,0.4,vernikler,0.3
1097,challenges,0.3,zeki,2.6
1098,challenging,0.6,daha akıllı,2.0
1099,challengingly,-0.6,cleverish,1.0
1100,champ,2.1,akıllıca,2.3
1101,champac,-0.2,akıllılık,2.3
1102,champagne,1.2,clevernesses,1.4
1103,champagnes,0.5,bulutlu,-0.2
1104,champaign,0.2,clueless,-1.5
1105,champaigns,0.5,horoz,-0.6
1106,champaks,-0.2,ibne,-3.1
1107,champed,1.0,pislikler,-2.6
1108,champer,-0.1,kendinden çok emin,-0.5
1109,champers,0.5,zorlanmış,-1.5
1110,champerties,-0.1,çöküş,-2.2
1111,champertous,0.3,çökmüş,-1.1
1112,champerty,-0.2,çökmeler,-1.2
1113,champignon,0.4,çöken,-1.2
1114,champignons,0.2,çarpışmak,-0.3
1115,champing,0.7,çarpışır,-1.1
1116,champion,2.9,çarpışan,-0.5
1117,championed,1.2,çarpışma,-1.5
1118,championing,1.8,çarpışmalar,-1.1
1119,champions,2.4,danışıklı,-1.2
1120,championship,1.9,kavgalar,-0.8
1121,championships,2.2,komedyen,1.6
1122,champs,1.8,komedyenler,1.2
1123,champy,1.0,komedi,1.5
1124,chance,1.0,komedide,2.1
1125,chances,0.8,kadın komedyen,0.6
1126,chaos,-2.7,Komedyenler,1.6
1127,chaotic,-2.2,komedileri,1.7
1128,charged,-0.8,komedondur,0.3
1129,charges,-1.1,komedonlar,-0.8
1130,charitable,1.7,sakinleş,-0.8
1131,charitableness,1.9,comedowns,-0.9
1132,charitablenesses,1.6,konfor,1.5
1133,charitably,1.4,rahat,2.3
1134,charities,2.2,comfortableness,1.3
1135,charity,1.8,rahatça,1.8
1136,charm,1.7,teselli,1.8
1137,charmed,2.0,yorgan,1.9
1138,charmer,1.9,yorganlar,1.2
1139,charmers,2.1,rahatlatıcı,1.7
1140,charmeuse,0.3,rahatlatmak,1.7
1141,charmeuses,0.4,kasvetli,-1.8
1142,charming,2.8,konforları,2.1
1143,charminger,1.5,commend,1.9
1144,charmingest,2.4,övgüyle,1.9
1145,charmingly,2.2,işlemek,1.2
1146,charmless,-1.8,taahhüt,1.1
1147,charms,1.9,taahhütler,0.5
1148,chastise,-2.5,kaydedilmesini,0.1
1149,chastised,-2.2,işlemekle,0.3
1150,chastises,-1.7,merhamet,2.0
1151,chastising,-1.7,compassionated,1.6
1152,cheat,-2.0,compassionateness,0.9
1153,cheated,-2.3,compassionates,1.6
1154,cheater,-2.5,compassionating,1.6
1155,cheaters,-1.9,compassionless,-2.6
1156,cheating,-2.6,mecbur,0.2
1157,cheats,-1.8,yetkili,1.3
1158,cheer,2.3,rekabetçi,0.7
1159,cheered,2.3,halinden memnun,-0.3
1160,cheerer,1.7,şikayet,-1.6
1161,cheerers,1.8,şikâyetçi,-0.7
1162,cheerful,2.5,müştekiler,-1.1
1163,cheerfuller,1.9,Şikayetçi,-1.8
1164,cheerfullest,3.2,şikayetçiler,-1.3
1165,cheerfully,2.1,şikayetçi,-0.8
1166,cheerfulness,2.1,complainingly,-1.7
1167,cheerier,2.6,şikâyet,-1.2
1168,cheeriest,2.2,şikayetler,-1.7
1169,cheerily,2.5,iltifat,2.3
1170,cheeriness,2.5,complimentarily,1.7
1171,cheering,2.3,övgü olarak verilen,1.9
1172,cheerio,1.2,övgü,1.7
1173,cheerlead,1.7,kapsamlı,1.0
1174,cheerleader,0.9,uzlaştırmak,1.0
1175,cheerleaders,1.2,gönlünü,1.1
1176,cheerleading,1.2,conciliates,1.1
1177,cheerleads,1.2,conciliating,1.3
1178,cheerled,1.5,kınamak,-1.6
1179,cheerless,-1.7,kınama,-2.8
1180,cheerlessly,-0.8,mahkum,-1.9
1181,cheerlessness,-1.7,kararınız,-2.3
1182,cheerly,2.4,güven,2.3
1183,cheers,2.1,kendine güvenen,2.2
1184,cheery,2.6,kendine güvenerek,2.1
1185,cherish,1.6,fikir ayrılığı,-1.3
1186,cherishable,2.0,çakışan,-1.7
1187,cherished,2.3,çatışmalı,-1.8
1188,cherisher,2.2,çatışmalar,-1.5
